title,domain,url,description,published_at
Here’s the biggest mystery the Mueller report left unanswered,rawstory.com,https://www.rawstory.com/2019/04/heres-biggest-mystery-mueller-report-left-unanswered/,Special counsel Robert Mueller’s report on his investigation into President Donald Trump tied up many loose ends — but left another huge one hanging. The Daily Beast reported Thursday evening that the question hanging over the report’s detailed descriptions o…,2019-04-18T23:59:44Z
Chuck and Nancy slam Bill Barr for 'deliberately distorting' the Mueller Report,dailymail.co.uk,https://www.dailymail.co.uk/news/article-6938457/Chuck-Nancy-slam-Bill-Barr-deliberately-distorting-Mueller-Report.html,"The pair, main, issued a joint, blistering statement  in response to the 448-page report. In it they outline 'at least four significant ways Barr (inset) misled the public'.",2019-04-18T23:59:36Z
Robert Mueller’s Biographer Sees a Bombshell on (Nearly) Every Page of the Redacted Mueller Report,imissgrantland.com,http://imissgrantland.com/2019/04/18/robert-muellers-biographer-sees-a-bombshell-on-nearly-every-page-of-the-redacted-mueller-report/,"Well, except for the ones that are fully blacked out. Source: Robert Mueller’s Biographer Sees a Bombshell on (Nearly) Every Page of the Redacted Mueller Report",2019-04-18T23:59:25Z
Robert Mueller’s Biographer Sees a Bombshell on (Nearly) Every Page of the Redacted Mueller Report,slate.com,https://slate.com/news-and-politics/2019/04/mueller-biographer-garrett-graff-on-redacted-mueller-report.html,"Well, except for the ones that are fully blacked out.",2019-04-18T23:59:25Z
This Isn’t The First Time William Barr Has Sought to Hide Information From the Public,inthesetimes.com,http://inthesetimes.com/article/21847/mueller-redacted-report-william-barr-hiding-information-1992-bush,"With the orchestrated release of the Mueller Report, Attorney General William Barr has again proven his mettle as a fixer for presidents plagued by national security scandals. I last wrote about Barr in October 1992 in a story about Iraqgate. The article feat…",2019-04-18T23:59:00Z
Bharara: Mueller likely didn't subpoena Trump in order to end probe well before 2020 election,cnn.com,https://www.cnn.com/2019/04/18/politics/preet-bharara-mueller-subpoena-trump-2020/index.html,"Preet Bharara, the former US attorney from the Southern District of New York, said Thursday special counsel Robert Mueller likely didn't subpoena President Donald Trump for in-person testimony in order to end his probe well before the 2020 election.",2019-04-18T23:58:18Z
Ex-White House Lawyer Cobb Says Mueller Did a ‘Professional Job’,yahoo.com,https://news.yahoo.com/ex-white-house-lawyer-cobb-235816739.html,"Cobb, who oversaw the White House response to the investigation for almost a year, said Mueller and his team took an overly broad view of obstruction. “They came to the right conclusion in affirmatively exonerating the president of the underlying crime of col…",2019-04-18T23:58:16Z
"April 18, 2019 – PBS NewsHour full episode",pbs.org,https://www.pbs.org/newshour/show/april-18-2019-pbs-newshour-full-episode,"Thursday on the NewsHour, Attorney General William Barr releases a redacted version of special counsel Robert Mueller’s report on possible cooperation between Russian government operatives and members of President Trump’s 2016 campaign. Plus: Legal and politi…",2019-04-18T23:57:16Z
"Mueller Report: No Conspiracy with Russians, Inconclusive on Obstruction of Justice",kqed.org,https://www.kqed.org/forum/2010101870623/mueller-report-no-conspiracy-with-russians-inconclusive-on-obstruction-of-justice,"On Thursday, the Justice Department released a redacted version of special counsel Robert Mueller's report on Russia's election interference and its possible collusion with the Trump campaign. The report, which found insufficient evidence of collusion, detail…",2019-04-18T23:57:11Z
 There Are Immediate Calls for the Impeachment of Both Attorney General William Barr and Trump After the Mueller Report Exposed a... via Hvper.com,hvper.com,http://www.hvper.com/?ref=feed_0659a566fc84e4d8cc405d4f9f1a7f67,"The Internet on one page. Successor of Popurls, the mother of news aggregators. By @thomas",2019-04-18T23:57:11Z
The U.S. has lost moral authority under Trump. The Mueller report gives some back.,washingtonpost.com,https://www.washingtonpost.com/opinions/the-us-has-lost-moral-authority-under-trump-the-mueller-report-gives-some-back/2019/04/18/5bd6683c-6227-11e9-9ff2-abc984dc9eec_story.html,The United States’ friends around the world should take some reassurance from Thursday’s Mueller report.,2019-04-18T23:57:04Z
Democrats say Trump obstructed justice but stop short of calling for impeachment,washingtonpost.com,https://www.washingtonpost.com/politics/democrats-say-trump-obstructed-justice-but-stop-short-of-calling-for-impeachment/2019/04/18/86d5b2a2-61fc-11e9-bfad-36a7eb36cb60_story.html,The Mueller report’s findings and the special counsel’s deferral to Congress increase pressure on Democrats and 2020 presidential candidates from the party’s left flank.,2019-04-18T23:56:36Z
"Mueller finds no conspiracy, but extensive Trump-Russia contacts",thestar.com.my,http://www.thestar.com.my/news/world/2019/04/19/mueller-finds-no-conspiracy-but-extensive-trumprussia-contacts/,"WASHINGTON (Reuters) - Special Counsel Robert Mueller may not have found evidence of a criminal conspiracy between Donald Trump's 2016 campaign and Russia, but his report details extensive contacts between the campaign and Russian operatives who sought to inf…",2019-04-18T23:56:36Z
"Barr under fire for news conference that was a boon for Trump, and often featured one of his preferred terms",washingtonpost.com,https://www.washingtonpost.com/world/national-security/barr-under-fire-for-news-conference-that-was-a-boon-for-trump-and-often-utilized-one-of-his-preferred-terms/2019/04/18/fc349e06-6214-11e9-9412-daf3d2e67c6d_story.html,"The attorney general said five times that the special counsel had found no ""collusion"" — embracing a word that the president has used often.",2019-04-18T23:56:30Z
Team Trump: The Mueller Report Is Vindication—and Riddled With ‘Lies’,thedailybeast.com,https://www.thedailybeast.com/team-trump-the-mueller-report-is-vindicationand-riddled-with-lies,"Joshua Roberts/Getty Donald Trump’s ardent defenders had a new line of defense after Special Counsel Robert Mueller’s hotly anticipated report came out on Thursday, detailing the president’s repeated attempts to interfere in the probe. A whole lot of lines, a…",2019-04-18T23:56:28Z
Team Trump: The Mueller Report Is Vindication—and Riddled With ‘Lies’,yahoo.com,https://news.yahoo.com/team-trump-mueller-report-vindication-235628960.html,"Joshua Roberts/GettyDonald Trump’s ardent defenders had a new line of defense after Special Counsel Robert Mueller’s hotly anticipated report came out on Thursday, detailing the president’s repeated attempts to interfere in the probe.A whole lot of lines, act…",2019-04-18T23:56:28Z
The Mueller report is shocking (CNN),memeorandum.com,https://www.memeorandum.com/190418/p104,"CNN : The Mueller report is shocking — (CNN)After a news conference by Attorney General William Barr, Congress and the public can access a redacted version of the Mueller report. Commentators will weigh in here throughout the day with smart takes on the Muell…",2019-04-18T23:55:00Z
"With the Mueller report laying out a roadmap to impeachment, the House Democrats decide that impeaching Trump just isn't ""worthwhile"" [Fail]",fark.com,https://www.fark.com/comments/10389415/With-Mueller-report-laying-out-a-roadmap-to-impeachment-House-Democrats-decide-that-impeaching-Trump-just-isnt-worthwhile,"With the Mueller report laying out a roadmap to impeachment, the House Democrats decide that impeaching Trump just isn't ""worthwhile""",2019-04-18T23:53:38Z
11 moments Mueller investigated for obstruction of justice,pbs.org,https://www.pbs.org/newshour/politics/11-moments-mueller-investigated-for-obstruction-of-justice,"Special counsel Robert Mueller ultimately did not reach a final conclusion on the topic, but his report presented multiple instances in which Trump's actions were ""capable of exerting undue influence over"" the investigations.",2019-04-18T23:53:09Z
Fifteen shocking revelations from the Mueller report,dailymail.co.uk,https://www.dailymail.co.uk/news/article-6938393/Fifteen-shocking-revelations-Mueller-report.html,"Robert Mueller's report is in, and while there is no concrete evidence that President Trump colluded with Russia during his presidential campaign, there is no shortage of shocking revelations.",2019-04-18T23:52:49Z
"Fox’s MacCallum, Dem Rep Trade Blows in Heated Interview on Mueller: ‘You’re Very Rude, Sir!’",mediaite.com,https://www.mediaite.com/tv/foxs-maccallum-dem-rep-trade-blows-in-heated-interview-on-mueller-youre-very-rude-sir/,"Martha MacCallum and Sean Maloney (D-NY) were at each other's throats on Thursday night when the Fox News host accused the congressman of being ""very rude"" to her...",2019-04-18T23:52:09Z
Heavily redacted Mueller report leaves major questions unanswered,thehill.com,https://thehill.com/policy/national-security/439655-heavily-redacted-mueller-report-leaves-major-questions-unanswered,More than 900 redactions in special counsel Robert Mueller's 448-page report left unanswered major questions about President Trump's knowledge of Russian-led efforts to steal and disseminate Democratic documents in...,2019-04-18T23:51:54Z
"From Trump Tower to WikiLeaks, the Mueller report offers window into Trump campaign, presidency",usatoday.com,https://www.usatoday.com/story/news/politics/2019/04/18/robert-mueller-report-see-insight-into-key-donald-trump-campaign-presidency/3513226002/?utm_source=google&utm_medium=amp&utm_campaign=speakable,Special counsel Robert Mueller's report gives a behind-the-scenes account of some of the notable events of Donald Trump's campaign and presidency.,2019-04-18T23:51:46Z
